word,char_count,value
aa,2,2
aah,3,10
aahed,5,19
aahing,6,40
aahs,4,29
aal,3,14
aalii,5,32
aaliis,6,51
aals,4,33
aardvark,8,76
aardvarks,9,95
aardwolf,8,80
aardwolves,10,120
aargh,5,35
aarrgh,6,53
aarrghh,7,61
aas,3,21
aasvogel,8,82
aasvogels,9,101
ab,2,3
aba,3,4
abaca,5,8
abacas,6,27
abaci,5,16
aback,5,18
abacterial,10,72
abacus,6,47
abacuses,8,71
abaft,5,30
abaka,5,16
abakas,6,35
abalone,7,50
abalones,8,69
abamp,5,33
abampere,8,61
abamperes,9,80
abamps,6,52
abandon,7,51
abandoned,9,60
abandoner,9,74
abandoners,10,93
abandoning,10,81
abandonment,11,103
abandonments,12,122
abandons,8,70
abapical,8,45
abas,4,23
abase,5,28
abased,6,32
abasedly,8,69
abasement,9,80
abasements,10,99
abaser,6,46
abasers,7,65
abases,6,47
abash,5,31
abashed,7,40
abashes,7,55
abashing,8,61
abashment,9,83
abashments,10,102
abasia,6,33
abasias,7,52
abasing,7,53
abatable,8,44
abate,5,29
abated,6,33
abatement,9,81
abatements,10,100
abater,6,47
abaters,7,66
abates,6,48
abating,7,54
abatis,6,52
abatises,8,76
abator,6,57
abators,7,76
abattis,7,72
abattises,9,96
abattoir,8,86
abattoirs,9,105
abaxial,7,50
abaxile,7,54
abba,4,6
abbacies,8,42
abbacy,6,34
abbas,5,25
abbatial,8,48
abbe,4,10
abbes,5,29
abbess,6,48
abbesses,8,72
abbey,5,35
abbeys,6,54
abbot,5,40
abbotcies,9,76
abbotcy,7,68
abbots,6,59
abbreviate,10,85
abbreviated,11,89
abbreviates,11,104
abbreviating,12,110
abbreviation,12,118
abbreviations,13,137
abbreviator,11,113
abbreviators,12,132
abdicable,9,39
abdicate,8,45
abdicated,9,49
abdicates,9,64
abdicating,10,70
abdication,10,78
abdications,11,97
abdicator,9,73
abdicators,10,92
abdomen,7,54
abdomens,8,73
abdomina,8,59
abdominal,9,71
abdominally,11,108
abduce,6,36
abduced,7,40
abducens,8,69
abducent,8,70
abducentes,10,94
abduces,7,55
abducing,8,61
abduct,6,51
abducted,8,60
abducting,9,81
abduction,9,89
abductions,10,108
abductor,8,84
abductores,10,108
abductors,9,103
abducts,7,70
abeam,5,22
abecedarian,11,63
abecedarians,12,82
abed,4,12
abele,5,25
abeles,6,44
abelia,6,30
abelian,7,44
abelias,7,49
abelmosk,8,78
abelmosks,9,97
aberrance,9,67
aberrances,10,86
aberrancies,11,95
aberrancy,9,87
aberrant,8,79
aberrantly,10,116
aberrants,9,98
aberrated,9,74
aberration,10,103
aberrational,12,116
aberrations,11,122
abet,4,28
abetment,8,80
abetments,9,99
abets,5,47
abettal,7,61
abettals,8,80
abetted,7,57
abetter,7,71
abetters,8,90
abetting,8,78
abettor,7,81
